Exercise,Code,Week #,Set #,# of Reps,Percentage of Max,Relevant Core
Barbell Squat,1,1,1,5,65%,Squat
Barbell Squat,1,1,2,5,70%,Squat
Barbell Squat,1,1,3,10,80%,Squat
Barbell Squat,1,2,1,3,67.5%,Squat
Barbell Squat,1,2,2,3,72.5%,Squat
Barbell Squat,1,2,3,8,82.5%,Squat
Barbell Squat,1,3,1,5,70%,Squat
Barbell Squat,1,3,2,3,75%,Squat
Barbell Squat,1,3,3,7,85%,Squat
Barbell Front Squat,2,1,1,5,32.5%,Squat
Barbell Front Squat,2,1,2,5,35%,Squat
Barbell Front Squat,2,1,3,10,40%,Squat
Barbell Front Squat,2,2,1,3,33.75%,Squat
Barbell Front Squat,2,2,2,3,36.25%,Squat
Barbell Front Squat,2,2,3,8,41.25%,Squat
Barbell Front Squat,2,3,1,5,35%,Squat
Barbell Front Squat,2,3,2,3,37.5%,Squat
Barbell Front Squat,2,3,3,7,42.5%,Squat
DB Reverse Lunge Step-up,3,1,1,3,7.5%,Squat
DB Reverse Lunge Step-up,3,1,2,3,7.5%,Squat
DB Reverse Lunge Step-up,3,1,3,3,7.5%,Squat
DB Reverse Lunge Step-up,3,2,1,4,7.5%,Squat
DB Reverse Lunge Step-up,3,2,2,4,7.5%,Squat
DB Reverse Lunge Step-up,3,2,3,4,7.5%,Squat
DB Reverse Lunge Step-up,3,3,1,5,7.5%,Squat
DB Reverse Lunge Step-up,3,3,2,5,7.5%,Squat
DB Reverse Lunge Step-up,3,3,3,5,7.5%,Squat
High-Hang Pull,4,1,1,5,70%,Clean
High-Hang Pull,4,2,1,4,77%,Clean
High-Hang Pull,4,3,1,3,84.7%,Clean
Clean,5,1,1,5,65%,Clean
Clean,5,1,2,5,70%,Clean
Clean,5,1,3,6,87.5%,Clean
Clean,5,2,1,3,67.5%,Clean
Clean,5,2,2,3,72.5%,Clean
Clean,5,2,3,4,90%,Clean
Clean,5,3,1,5,70%,Clean
Clean,5,3,2,3,75%,Clean
Clean,5,3,3,3,92.5%,Clean
Box Bench,6,1,1,5,68.25%,Bench
Box Bench,6,1,2,5,73.5%,Bench
Box Bench,6,1,3,10,84%,Bench
Box Bench,6,2,1,3,70.87%,Bench
Box Bench,6,2,2,3,76.12%,Bench
Box Bench,6,2,3,8,86.62%,Bench
Box Bench,6,3,1,5,73.5%,Bench
Box Bench,6,3,2,3,78.75%,Bench
Box Bench,6,3,3,7,89.25%,Bench
Bench,7,1,1,5,65%,Bench
Bench,7,1,2,5,70%,Bench
Bench,7,1,3,10,80%,Bench
Bench,7,2,1,3,67.5%,Bench
Bench,7,2,2,3,72.5%,Bench
Bench,7,2,3,8,82.5%,Bench
Bench,7,3,1,5,70%,Bench
Bench,7,3,2,3,75%,Bench
Bench,7,3,3,7,85%,Bench
1-Arm DB Row,8,1,1,5,13.75%,Bench
1-Arm DB Row,8,1,2,5,13.75%,Bench
1-Arm DB Row,8,1,3,5,13.75%,Bench
1-Arm DB Row,8,2,1,6,13.75%,Bench
1-Arm DB Row,8,2,2,6,13.75%,Bench
1-Arm DB Row,8,2,3,6,13.75%,Bench
1-Arm DB Row,8,3,1,7,13.75%,Bench
1-Arm DB Row,8,3,2,7,13.75%,Bench
1-Arm DB Row,8,3,3,7,13.75%,Bench
Barbell Push Press,9,1,1,5,40.62%,Bench
Barbell Push Press,9,1,2,5,43.75%,Bench
Barbell Push Press,9,1,3,10,50%,Bench
Barbell Push Press,9,2,1,3,42.18%,Bench
Barbell Push Press,9,2,2,3,45.31%,Bench
Barbell Push Press,9,2,3,8,51.56%,Bench
Barbell Push Press,9,3,1,5,43.75%,Bench
Barbell Push Press,9,3,2,3,48.75%,Bench
Barbell Push Press,9,3,3,7,53.12%,Bench
Chest-Supported DB Row,10,1,1,5,12.5%,Bench
Chest-Supported DB Row,10,1,2,5,12.5%,Bench
Chest-Supported DB Row,10,1,3,5,12.5%,Bench
Chest-Supported DB Row,10,2,1,6,12.5%,Bench
Chest-Supported DB Row,10,2,2,6,12.5%,Bench
Chest-Supported DB Row,10,2,3,6,12.5%,Bench
Chest-Supported DB Row,10,3,1,7,12.5%,Bench
Chest-Supported DB Row,10,3,2,7,12.5%,Bench
Chest-Supported DB Row,10,3,3,7,12.5%,Bench
3-Way DB Shoulder Raise,11,1,1,7,12.5%,Bench
3-Way DB Shoulder Raise,11,1,2,7,12.5%,Bench
3-Way DB Shoulder Raise,11,1,3,7,12.5%,Bench
3-Way DB Shoulder Raise,11,2,1,8,12.5%,Bench
3-Way DB Shoulder Raise,11,2,2,8,12.5%,Bench
3-Way DB Shoulder Raise,11,2,3,8,12.5%,Bench
3-Way DB Shoulder Raise,11,3,1,10,12.5%,Bench
3-Way DB Shoulder Raise,11,3,2,10,12.5%,Bench
3-Way DB Shoulder Raise,11,3,3,10,12.5%,Bench
Bar RDL,12,1,1,5,25%,Deadlift
Bar RDL,12,1,2,5,25%,Deadlift
Bar RDL,12,1,3,5,25%,Deadlift
Bar RDL,12,2,1,6,25%,Deadlift
Bar RDL,12,2,2,6,25%,Deadlift
Bar RDL,12,2,3,6,25%,Deadlift
Bar RDL,12,3,1,7,25%,Deadlift
Bar RDL,12,3,2,7,25%,Deadlift
Bar RDL,12,3,3,7,25%,Deadlift
Hex-Bar Jump,13,1,1,3,40%,Deadlift
Hex-Bar Jump,13,1,2,3,40%,Deadlift
Hex-Bar Jump,13,1,3,3,40%,Deadlift
Hex-Bar Jump,13,2,1,4,40%,Deadlift
Hex-Bar Jump,13,2,2,4,40%,Deadlift
Hex-Bar Jump,13,2,3,4,40%,Deadlift
Hex-Bar Jump,13,3,1,5,40%,Deadlift
Hex-Bar Jump,13,3,2,5,40%,Deadlift
Hex-Bar Jump,13,3,3,5,40%,Deadlift
Hex-Bar Deadlift,14,1,1,5,65%,Deadlift
Hex-Bar Deadlift,14,1,2,5,70%,Deadlift
Hex-Bar Deadlift,14,1,3,10,80%,Deadlift
Hex-Bar Deadlift,14,2,1,3,67.5%,Deadlift
Hex-Bar Deadlift,14,2,2,3,72.5%,Deadlift
Hex-Bar Deadlift,14,2,3,8,82.5%,Deadlift
Hex-Bar Deadlift,14,3,1,5,70%,Deadlift
Hex-Bar Deadlift,14,3,2,3,75%,Deadlift
Hex-Bar Deadlift,14,3,3,7,85%,Deadlift
