Exercise,Code,Week #,Set #,# of Reps,Multiplier of Max,Relevant Core
Barbell Squat,1,1,1,5,0.65,Squat
Barbell Squat,1,1,2,5,0.7,Squat
Barbell Squat,1,1,3,10,0.8,Squat
Barbell Squat,1,2,1,3,0.675,Squat
Barbell Squat,1,2,2,3,0.725,Squat
Barbell Squat,1,2,3,8,0.825,Squat
Barbell Squat,1,3,1,5,0.7,Squat
Barbell Squat,1,3,2,3,0.75,Squat
Barbell Squat,1,3,3,7,0.85,Squat
Barbell Front Squat,2,1,1,5,0.325,Squat
Barbell Front Squat,2,1,2,5,0.35,Squat
Barbell Front Squat,2,1,3,10,0.4,Squat
Barbell Front Squat,2,2,1,3,0.3375,Squat
Barbell Front Squat,2,2,2,3,0.3625,Squat
Barbell Front Squat,2,2,3,8,0.4125,Squat
Barbell Front Squat,2,3,1,5,0.35,Squat
Barbell Front Squat,2,3,2,3,0.375,Squat
Barbell Front Squat,2,3,3,7,0.425,Squat
DB Reverse Lunge Step-up,3,1,1,3,0.075,Squat
DB Reverse Lunge Step-up,3,1,2,3,0.075,Squat
DB Reverse Lunge Step-up,3,1,3,3,0.075,Squat
DB Reverse Lunge Step-up,3,2,1,4,0.075,Squat
DB Reverse Lunge Step-up,3,2,2,4,0.075,Squat
DB Reverse Lunge Step-up,3,2,3,4,0.075,Squat
DB Reverse Lunge Step-up,3,3,1,5,0.075,Squat
DB Reverse Lunge Step-up,3,3,2,5,0.075,Squat
DB Reverse Lunge Step-up,3,3,3,5,0.075,Squat
High-Hang Pull,4,1,1,5,0.7,Clean
High-Hang Pull,4,2,1,4,0.77,Clean
High-Hang Pull,4,3,1,3,0.847,Clean
Clean,5,1,1,5,0.65,Clean
Clean,5,1,2,5,0.7,Clean
Clean,5,1,3,6,0.875,Clean
Clean,5,2,1,3,0.675,Clean
Clean,5,2,2,3,0.725,Clean
Clean,5,2,3,4,0.9,Clean
Clean,5,3,1,5,0.7,Clean
Clean,5,3,2,3,0.75,Clean
Clean,5,3,3,3,0.925,Clean
Box Bench,6,1,1,5,0.6825,Bench
Box Bench,6,1,2,5,0.735,Bench
Box Bench,6,1,3,10,0.84,Bench
Box Bench,6,2,1,3,0.7087,Bench
Box Bench,6,2,2,3,0.7612,Bench
Box Bench,6,2,3,8,0.8662,Bench
Box Bench,6,3,1,5,0.735,Bench
Box Bench,6,3,2,3,0.7875,Bench
Box Bench,6,3,3,7,0.8925,Bench
Bench,7,1,1,5,0.65,Bench
Bench,7,1,2,5,0.7,Bench
Bench,7,1,3,10,0.8,Bench
Bench,7,2,1,3,0.675,Bench
Bench,7,2,2,3,0.725,Bench
Bench,7,2,3,8,0.825,Bench
Bench,7,3,1,5,0.7,Bench
Bench,7,3,2,3,0.75,Bench
Bench,7,3,3,7,0.85,Bench
1-Arm DB Row,8,1,1,5,0.1375,Bench
1-Arm DB Row,8,1,2,5,0.1375,Bench
1-Arm DB Row,8,1,3,5,0.1375,Bench
1-Arm DB Row,8,2,1,6,0.1375,Bench
1-Arm DB Row,8,2,2,6,0.1375,Bench
1-Arm DB Row,8,2,3,6,0.1375,Bench
1-Arm DB Row,8,3,1,7,0.1375,Bench
1-Arm DB Row,8,3,2,7,0.1375,Bench
1-Arm DB Row,8,3,3,7,0.1375,Bench
Barbell Push Press,9,1,1,5,0.4062,Bench
Barbell Push Press,9,1,2,5,0.4375,Bench
Barbell Push Press,9,1,3,10,0.5,Bench
Barbell Push Press,9,2,1,3,0.4218,Bench
Barbell Push Press,9,2,2,3,0.4531,Bench
Barbell Push Press,9,2,3,8,0.5156,Bench
Barbell Push Press,9,3,1,5,0.4375,Bench
Barbell Push Press,9,3,2,3,0.4875,Bench
Barbell Push Press,9,3,3,7,0.5312,Bench
Chest-Supported DB Row,10,1,1,5,0.125,Bench
Chest-Supported DB Row,10,1,2,5,0.125,Bench
Chest-Supported DB Row,10,1,3,5,0.125,Bench
Chest-Supported DB Row,10,2,1,6,0.125,Bench
Chest-Supported DB Row,10,2,2,6,0.125,Bench
Chest-Supported DB Row,10,2,3,6,0.125,Bench
Chest-Supported DB Row,10,3,1,7,0.125,Bench
Chest-Supported DB Row,10,3,2,7,0.125,Bench
Chest-Supported DB Row,10,3,3,7,0.125,Bench
3-Way DB Shoulder Raise,11,1,1,7,0.125,Bench
3-Way DB Shoulder Raise,11,1,2,7,0.125,Bench
3-Way DB Shoulder Raise,11,1,3,7,0.125,Bench
3-Way DB Shoulder Raise,11,2,1,8,0.125,Bench
3-Way DB Shoulder Raise,11,2,2,8,0.125,Bench
3-Way DB Shoulder Raise,11,2,3,8,0.125,Bench
3-Way DB Shoulder Raise,11,3,1,10,0.125,Bench
3-Way DB Shoulder Raise,11,3,2,10,0.125,Bench
3-Way DB Shoulder Raise,11,3,3,10,0.125,Bench
Bar RDL,12,1,1,5,0.25,Deadlift
Bar RDL,12,1,2,5,0.25,Deadlift
Bar RDL,12,1,3,5,0.25,Deadlift
Bar RDL,12,2,1,6,0.25,Deadlift
Bar RDL,12,2,2,6,0.25,Deadlift
Bar RDL,12,2,3,6,0.25,Deadlift
Bar RDL,12,3,1,7,0.25,Deadlift
Bar RDL,12,3,2,7,0.25,Deadlift
Bar RDL,12,3,3,7,0.25,Deadlift
Hex-Bar Jump,13,1,1,3,0.4,Deadlift
Hex-Bar Jump,13,1,2,3,0.4,Deadlift
Hex-Bar Jump,13,1,3,3,0.4,Deadlift
Hex-Bar Jump,13,2,1,4,0.4,Deadlift
Hex-Bar Jump,13,2,2,4,0.4,Deadlift
Hex-Bar Jump,13,2,3,4,0.4,Deadlift
Hex-Bar Jump,13,3,1,5,0.4,Deadlift
Hex-Bar Jump,13,3,2,5,0.4,Deadlift
Hex-Bar Jump,13,3,3,5,0.4,Deadlift
Hex-Bar Deadlift,14,1,1,5,0.65,Deadlift
Hex-Bar Deadlift,14,1,2,5,0.7,Deadlift
Hex-Bar Deadlift,14,1,3,10,0.8,Deadlift
Hex-Bar Deadlift,14,2,1,3,0.675,Deadlift
Hex-Bar Deadlift,14,2,2,3,0.725,Deadlift
Hex-Bar Deadlift,14,2,3,8,0.825,Deadlift
Hex-Bar Deadlift,14,3,1,5,0.7,Deadlift
Hex-Bar Deadlift,14,3,2,3,0.75,Deadlift
Hex-Bar Deadlift,14,3,3,7,0.85,Deadlift
