Exercise,Code,Week #,Set #,# of Reps,Multiplier of Max,Relevant Core
Barbell Squat,1,1,1,5,0.65,Barbell Squat
Barbell Squat,1,1,2,5,0.7,Barbell Squat
Barbell Squat,1,1,3,10,0.8,Barbell Squat
Barbell Squat,1,2,1,3,0.675,Barbell Squat
Barbell Squat,1,2,2,3,0.725,Barbell Squat
Barbell Squat,1,2,3,8,0.825,Barbell Squat
Barbell Squat,1,3,1,5,0.7,Barbell Squat
Barbell Squat,1,3,2,3,0.75,Barbell Squat
Barbell Squat,1,3,3,7,0.85,Barbell Squat
Barbell Front Squat,2,1,1,5,0.55,Barbell Squat
Barbell Front Squat,2,1,2,5,0.575,Barbell Squat
Barbell Front Squat,2,1,3,10,0.625,Barbell Squat
Barbell Front Squat,2,2,1,3,0.5525,Barbell Squat
Barbell Front Squat,2,2,2,3,0.5925,Barbell Squat
Barbell Front Squat,2,2,3,8,0.6425,Barbell Squat
Barbell Front Squat,2,3,1,5,0.575,Barbell Squat
Barbell Front Squat,2,3,2,3,0.6,Barbell Squat
Barbell Front Squat,2,3,3,7,0.675,Barbell Squat
DB Reverse Lunge Step-up,3,1,1,3,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,1,2,3,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,1,3,3,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,2,1,4,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,2,2,4,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,2,3,4,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,3,1,5,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,3,2,5,0.192,Barbell Squat
DB Reverse Lunge Step-up,3,3,3,5,0.192,Barbell Squat
High-Hang Pull,4,1,1,5,0.7,Clean
High-Hang Pull,4,2,1,4,0.77,Clean
High-Hang Pull,4,3,1,3,0.847,Clean
High-Hang Pull,4,1,2,5,0.7,Clean
High-Hang Pull,4,1,3,5,0.7,Clean
High-Hang Pull,4,2,2,4,0.77,Clean
High-Hang Pull,4,2,3,4,0.77,Clean
High-Hang Pull,4,3,2,3,0.847,Clean
High-Hang Pull,4,3,3,3,0.847,Clean
Clean,5,1,1,5,0.65,Clean
Clean,5,1,2,5,0.7,Clean
Clean,5,1,3,6,0.875,Clean
Clean,5,2,1,3,0.675,Clean
Clean,5,2,2,3,0.725,Clean
Clean,5,2,3,4,0.9,Clean
Clean,5,3,1,5,0.7,Clean
Clean,5,3,2,3,0.75,Clean
Clean,5,3,3,3,0.925,Clean
Box Bench,6,1,1,5,0.6825,Bench
Box Bench,6,1,2,5,0.735,Bench
Box Bench,6,1,3,10,0.84,Bench
Bench,7,1,1,5,0.65,Bench
Bench,7,1,2,5,0.7,Bench
Bench,7,1,3,10,0.8,Bench
Bench,7,2,1,3,0.675,Bench
Bench,7,2,2,3,0.725,Bench
Bench,7,2,3,8,0.825,Bench
Bench,7,3,1,5,0.7,Bench
Bench,7,3,2,3,0.75,Bench
Bench,7,3,3,7,0.85,Bench
DB Tricep Extensions,8,1,1,5,0.4,Bench
DB Tricep Extensions,8,1,2,5,0.4,Bench
DB Tricep Extensions,8,1,3,5,0.4,Bench
DB Tricep Extensions,8,2,1,6,0.4,Bench
DB Tricep Extensions,8,2,2,6,0.4,Bench
DB Tricep Extensions,8,2,3,6,0.4,Bench
DB Tricep Extensions,8,3,1,7,0.4,Bench
DB Tricep Extensions,8,3,2,7,0.4,Bench
DB Tricep Extensions,8,3,3,7,0.4,Bench
Barbell Push Press,9,1,1,5,0.675,Bench
Barbell Push Press,9,1,2,5,0.725,Bench
Barbell Push Press,9,1,3,10,0.825,Bench
Barbell Push Press,9,2,1,3,0.7,Bench
Barbell Push Press,9,2,2,3,0.75,Bench
Barbell Push Press,9,2,3,8,0.85,Bench
Barbell Push Press,9,3,1,5,0.725,Bench
Barbell Push Press,9,3,2,3,0.8,Bench
Barbell Push Press,9,3,3,7,0.875,Bench
1-Arm DB Row,10,1,1,5,0.425,Bench
1-Arm DB Row,10,1,2,5,0.425,Bench
1-Arm DB Row,10,1,3,5,0.425,Bench
1-Arm DB Row,10,2,1,6,0.425,Bench
1-Arm DB Row,10,2,2,6,0.425,Bench
1-Arm DB Row,10,2,3,6,0.425,Bench
1-Arm DB Row,10,3,1,7,0.425,Bench
1-Arm DB Row,10,3,2,7,0.425,Bench
1-Arm DB Row,10,3,3,7,0.425,Bench
3-Way DB Shoulder Raise,11,1,1,7,0.135,Bench
3-Way DB Shoulder Raise,11,1,2,7,0.135,Bench
3-Way DB Shoulder Raise,11,1,3,7,0.135,Bench
3-Way DB Shoulder Raise,11,2,1,8,0.135,Bench
3-Way DB Shoulder Raise,11,2,2,8,0.135,Bench
3-Way DB Shoulder Raise,11,2,3,8,0.135,Bench
3-Way DB Shoulder Raise,11,3,1,10,0.135,Bench
3-Way DB Shoulder Raise,11,3,2,10,0.135,Bench
3-Way DB Shoulder Raise,11,3,3,10,0.135,Bench
Bar RDL,12,1,1,5,0.7,Hex-Bar Deadlift
Bar RDL,12,1,2,5,0.7,Hex-Bar Deadlift
Bar RDL,12,1,3,5,0.7,Hex-Bar Deadlift
Bar RDL,12,2,1,6,0.7,Hex-Bar Deadlift
Bar RDL,12,2,2,6,0.7,Hex-Bar Deadlift
Bar RDL,12,2,3,6,0.7,Hex-Bar Deadlift
Bar RDL,12,3,1,7,0.7,Hex-Bar Deadlift
Bar RDL,12,3,2,7,0.7,Hex-Bar Deadlift
Bar RDL,12,3,3,7,0.7,Hex-Bar Deadlift
Hex-Bar Jump,13,1,1,3,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,1,2,3,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,1,3,3,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,2,1,4,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,2,2,4,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,2,3,4,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,3,1,5,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,3,2,5,0.5,Hex-Bar Deadlift
Hex-Bar Jump,13,3,3,5,0.5,Hex-Bar Deadlift
Hex-Bar Deadlift,14,1,1,5,0.65,Hex-Bar Deadlift
Hex-Bar Deadlift,14,1,2,5,0.7,Hex-Bar Deadlift
Hex-Bar Deadlift,14,1,3,10,0.8,Hex-Bar Deadlift
Hex-Bar Deadlift,14,2,1,3,0.675,Hex-Bar Deadlift
Hex-Bar Deadlift,14,2,2,3,0.725,Hex-Bar Deadlift
Hex-Bar Deadlift,14,2,3,8,0.825,Hex-Bar Deadlift
Hex-Bar Deadlift,14,3,1,5,0.7,Hex-Bar Deadlift
