Exercise,e,r,s,w
Barbell Squat,1,5,1,1
Barbell Squat,1,5,2,1
Barbell Squat,1,10,3,1
Barbell Squat,1,3,1,2
Barbell Squat,1,3,2,2
Barbell Squat,1,8,3,2
Barbell Squat,1,5,1,3
Barbell Squat,1,3,2,3
Barbell Squat,1,7,3,3
High-Hang Pull,4,5,1,1
High-Hang Pull,4,4,1,2
High-Hang Pull,4,3,1,3
Box Bench,6,5,1,1
Box Bench,6,5,2,1
Box Bench,6,10,3,1
Box Bench,6,3,1,2
Box Bench,6,3,2,2
Box Bench,6,8,3,2
Box Bench,6,5,1,3
Box Bench,6,3,2,3
Box Bench,6,7,3,3
Bar RDL,12,5,1,1
Bar RDL,12,6,1,2
Bar RDL,12,7,1,3
Bench,7,5,1,1
Bench,7,5,2,1
Bench,7,10,3,1
Bench,7,3,1,2
Bench,7,3,2,2
Bench,7,8,3,2
Bench,7,5,1,3
Bench,7,3,2,3
Bench,7,7,3,3
Hex-Bar Jump,13,3,1,1
Hex-Bar Jump,13,4,1,2
Hex-Bar Jump,13,5,1,3
Barbell Front Squat,2,5,1,1
Barbell Front Squat,2,5,2,1
Barbell Front Squat,2,10,3,1
Barbell Front Squat,2,3,1,2
Barbell Front Squat,2,3,2,2
Barbell Front Squat,2,8,3,2
Barbell Front Squat,2,5,1,3
Barbell Front Squat,2,3,2,3
Barbell Front Squat,2,7,3,3
1-Arm DB Row,8,5,1,1
1-Arm DB Row,8,6,1,2
1-Arm DB Row,8,7,1,3
Clean,5,5,1,1
Clean,5,5,2,1
Clean,5,6,3,1
Clean,5,3,1,2
Clean,5,3,2,2
Clean,5,4,3,2
Clean,5,5,1,3
Clean,5,3,2,3
Clean,5,3,3,3
Barbell Push Press,9,5,1,1
Barbell Push Press,9,5,2,1
Barbell Push Press,9,10,3,1
Barbell Push Press,9,3,1,2
Barbell Push Press,9,3,2,2
Barbell Push Press,9,8,3,2
Barbell Push Press,9,5,1,3
Barbell Push Press,9,3,2,3
Barbell Push Press,9,7,3,3
DB Reverse Lunge Step-up,3,3,1,1
DB Reverse Lunge Step-up,3,4,1,2
DB Reverse Lunge Step-up,3,5,1,3
Chest-Supported DB Row,10,5,1,1
Chest-Supported DB Row,10,6,1,2
Chest-Supported DB Row,10,7,1,3
Hex-Bar Deadlift,14,5,1,1
Hex-Bar Deadlift,14,5,2,1
Hex-Bar Deadlift,14,10,3,1
Hex-Bar Deadlift,14,3,1,2
Hex-Bar Deadlift,14,3,2,2
Hex-Bar Deadlift,14,8,3,2
Hex-Bar Deadlift,14,5,1,3
Hex-Bar Deadlift,14,3,2,3
Hex-Bar Deadlift,14,7,3,3
3-Way DB Shoulder Raise,11,7,1,1
3-Way DB Shoulder Raise,11,8,1,2
3-Way DB Shoulder Raise,11,10,1,3
